opendb_id,name,manufacturer,form_factor,expansion_slots,internal_2_5_bays,internal_3_5_bays,gpu_clearance_mm,cooler_clearance_mm,psu_clearance_mm,volume_liters,supported_motherboards,supported_psu,transparent_side_panel
9e3aeb11-df9d-4130-bb41-f41a54b76972,Corsair iCUE 4000D RGB AIRFLOW QL Edition Mid-Tower ATX Case — True White,Corsair,ATX Mid Tower,7,2,2,360.0,170.0,220.0,48.55,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
bc5d8359-89a9-4a80-92b9-3ab05f3f1c80,Montech SKY TWO GX ATX Mid Tower with Tempered Glass Side Panel - Black,MONTECH,ATX Mid Tower,7,6,2,400.0,168.0,210.0,45.3,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
b1950adb-ebfb-4eeb-ac20-d7575e7afc0a,Corsair 4000D Tempered Glass Mid-Tower ATX Case - Black,Corsair,ATX Mid Tower,7,2,2,360.0,170.0,220.0,48.55,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
ee103b4b-fd54-49e3-b989-df5d12e5dae9,Corsair 4000D Tempered Glass Mid-Tower ATX Case - White,Corsair,ATX Mid Tower,7,2,2,360.0,170.0,220.0,48.55,EATX | ATX | Micro ATX | Mini-ITX,ATX,true
090334a6-3c7c-42e6-9b7c-901b9781f7cd,"Corsair 4000D Airflow ATX Mid Tower Black Tempered Glass Side Panel, w/750 W Power Supply",Corsair,ATX Mid Tower,7,2,2,360.0,170.0,220.0,48.553,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
745045ce-cbd6-4fea-8cdc-b7f8c02de8e5,Corsair 4000D AIRFLOW Tempered Glass Mid-Tower ATX Case - White,Corsair,ATX Mid Tower,7,2,2,360.0,170.0,220.0,48.55,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
ec96cfae-5081-4cdf-a0ec-48731e0fefa8,Corsair 4000D AIRFLOW Tempered Glass Mid-Tower ATX Case - Black,Corsair,ATX Mid Tower,7,4,2,360.0,170.0,220.0,48.55,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
cb249036-862a-4d15-b65d-ff6a100866af,Asus TUF Gaming GT501 ATX Mid Tower White / Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A Front Panel,ASUS,ATX Mid Tower,7,7,4,420.0,180.0,240.0,75.511,Micro ATX | Mini-ITX | ATX | EATX,ATX,true
5b25813a-9cbb-4057-af09-b4b97fcfbd1f,Asus TUF Gaming GT501 ATX Mid Tower Black / Gray with Tempered Glass Side Panel,ASUS,ATX Mid Tower,7,7,4,420.0,180.0,240.0,75.511,Micro ATX | Mini-ITX | ATX | EATX,ATX,true
c0bdc85e-bd7e-4a1d-8e78-d1e0888bb174,Asus TUF Gaming GT501 Demon Slayer Edition ATX Mid Tower Yellow / Black Tempered Glass Side Panel,ASUS,ATX Mid Tower,7,7,4,420.0,180.0,240.0,75.511,Micro ATX | Mini-ITX | ATX | EATX,ATX,true
1ebe9a49-611c-4b53-9962-5b7be5046dbf,Phanteks EVOLV X2 ATX Mid Tower Black / Gold,Phanteks,ATX Mid Tower,8,3,2,380.0,170.0,250.0,60.865,Micro ATX | Mini-ITX | EATX | ATX,ATX,true
cd4568b7-29a5-4ed2-b85f-97738ea155c9,Formula V Line Air Power G9 Duo PA Black,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | EATX | Mini-ITX,ATX,true
b25d4954-d8f3-4b73-a3aa-ddfe6f79dea4,Formula V Line Air Power G9 Duo SA White,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
7f7b3e0c-03f6-42ca-a2ca-2575c2f6ec82,Formula V Line Air Power G9 Duo SA Black,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
7b4883af-7e1e-4482-9d70-0ee8c65847ab,Formula V Line Air Power G9 Duo Black,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
537c48e2-b6d1-4f7c-b3ca-0b3892509dc4,Formula V Line Air Power G9 Duo White,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
397a6df3-efca-4fc5-b81f-29c878a9f283,Formula V Line Air Power G9 Duo PA White,Formula V Line,ATX Mid Tower,7,1,1,420.0,182.0,,54.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
838ed15d-e916-411a-9831-ea850f700556,HYTE X50 ATX Mid Tower Green with Tempered Glass Side Panel,HYTE,ATX Mid Tower,7,2,1,430.0,170.0,,63.074,Micro ATX | Mini-ITX | EATX | ATX,ATX,true
1c24fb75-b2a5-40bb-91dc-33031c9035a9,Thermaltake View 270 Plus ATX Mid Tower Black Tempered Glass ARGB,Thermaltake,ATX Mid Tower,7,1,2,420.0,180.0,,48.0,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
dacc5b30-95b1-489e-a56e-441f1f727cd6,Corsair AIR 5400 LX-R RGB iCUE LINK Black,Corsair,EATX Mid Tower,7,2,1,360.0,180.0,,74.0,Mini-ITX | Micro ATX | EATX | ATX,ATX,true
bd74c68b-337a-4aa3-acb1-a89a4ea6ef1c,Corsair AIR 5400 RS-R ARGB White,Corsair,ATX Mid Tower,7,2,1,360.0,180.0,,74.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
9b6db8d9-498b-4c27-90fb-f23aae1fdfe7,Corsair AIR 5400 RS-R ARGB Black,Corsair,ATX Mid Tower,7,2,1,360.0,180.0,,74.6,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
7ebdb849-a8df-466f-883a-bb82ac197aaa,Corsair AIR 5400 LX-R RGB iCUE LINK White,Corsair,EATX Mid Tower,7,2,1,360.0,180.0,,74.63,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
